name,administrative_unit,last_update,county,status_notes,location,date_started
Straylor Fire ,CDF Lassen-Modoc UnitåÊ,"July 30, 2004 6:00 amåÊ",LassenåÊ,100%åÊ,20 miles southeast of Fall River MillsåÊ,"July 22, 2004 4:03 pmåÊ"
Mataguay Fire ,CDF San DiegoåÊ,"July 16, 2004 6:00 amåÊ",San DiegoåÊ,100%åÊ,Northeast of Warner SpringsåÊ,"July 13, 2004 12:30 pmåÊ"
Pine FireåÊ,LA County Fire/Angeles National ForeståÊ,"July 22, 2004 9:00 amåÊ",Los AngelesåÊ,100%åÊ,Pine Canyon/Highway 138; North side of Liebre MountainåÊ,"July 12, 2004 12:50 pmåÊ"
Gaviota Fire ,"Santa Barbara County, CDF, USFSåÊ","June 12, 2004 6:00 amåÊ",Santa BarbaraåÊ,100%åÊ,15 miles west of Santa BarbaraåÊ,"June 5, 2004 11:57 amåÊ"
Cerritos Fire ,CDF Riverside Unit/Riverside County FireåÊ,"May 7, 2004 7:00 pmåÊ",RiversideåÊ,100%åÊ,Southeast of CoronaåÊ,"May 3, 2004 1:31 pmåÊ"
Cachuma FireåÊ,Los Padres National ForeståÊ,"May 8, 2004 6:00 pmåÊ",Santa BarbaraåÊ,100%åÊ,12 miles Northeast of Santa YnezåÊ,"May 3, 2004 12:00 pmåÊ"
Eagle Fire ,CDF Riverside Unit/Riverside County FireåÊ,"May 7, 2004 7:00 pmåÊ",RiversideåÊ,100%åÊ,Southeast of the city of TemeculaåÊ,"May 2, 2004 3:14 pmåÊ"
School Fire ,Ventura CountyåÊ,"November 22, 2005 6:00 pmåÊ",VenturaåÊ,100%åÊ,North of the city of VenturaåÊ,"November 18, 2005 3:33 amåÊ"
Border 50 ,CDF San Diego UnitåÊ,"October 8, 2005 7:00 pmåÊ",San DiegoåÊ,100%åÊ,3 miles west of PotreroåÊ,"October 5, 2005 9:17 amåÊ"
Thurman Fire ,San Bernardino National ForeståÊ,"October 7, 2005 6:00 pmåÊ",San BernardinoåÊ,100%åÊ,åÊ,"September 29, 2005 1:23 pmåÊ"
Topanga Fire ,Los Angeles County Fire DeparmentåÊ,"October 6, 2005 6:00 amåÊ",Los AngelesåÊ,100%åÊ,Chatsworth area (border of LA and Ventura Counties)åÊ,"September 28, 2005 1:50 pmåÊ"
Volcan Fire ,CDF San Diego UnitåÊ,"September 13, 2005 7:00 amåÊ",San DiegoåÊ,100%åÊ,"On Volcan Mountain, west of Julian.åÊ","September 6, 2005 11:28 amåÊ"
Blaisdell FireåÊ,San Bernardino National ForeståÊ,"September 29, 2005 5:47 pmåÊ",San BernardinoåÊ,100%åÊ,North Palm SpringsåÊ,"August 26, 2005 9:40 pmåÊ"
Manton Fire ,CDF Tehama-Glenn UnitåÊ,"August 29, 2005 7:00 amåÊ",TehamaåÊ,100%åÊ,Community of MantonåÊ,"August 26, 2005 3:00 pmåÊ"
 Harding FireåÊ,Tahoe National ForeståÊ,"August 30, 2005 10:54 amåÊ",SierraåÊ,100%åÊ,2 miles Northeast of SierravilleåÊ,"August 24, 2005 3:00 pmåÊ"
36 Fire ,CDF Tehama-Glenn UnitåÊ,"August 12, 2005 6:00 amåÊ",TehamaåÊ,100%åÊ,9 miles east of PlatinaåÊ,"August 10, 2005 5:25 pmåÊ"
Quartz Fire ,CDF Madera-Mariposa-Merced UnitåÊ,"July 27, 2005 7:00 amåÊ",MaderaåÊ,100%åÊ,2 miles east of CoursegoldåÊ,"July 25, 2005 12:06 pmåÊ"
Yorba Linda Fire ,CDF/Orange County FireåÊ,"July 9, 2005 6:00 amåÊ",OrangeåÊ,100%åÊ,1 mile north of Yorba LindaåÊ,"July 5, 2005 2:06 pmåÊ"
Paradise Fire ,CDF San Bernardino UnitåÊ,"June 24, 2005 7:00 amåÊ",San BernardinoåÊ,100%åÊ,"Hwy 62, Morongo ValleyåÊ","June 22, 2005 12:53 pmåÊ"
Soboba Fire ,CDF Riverside Unit/Riverside County FireåÊ,"June 25, 2005 8:00 amåÊ",RiversideåÊ,100%åÊ,"Soboba at Lake Park, San JacintoåÊ","June 22, 2005 12:00 pmåÊ"
Rumsey Fire ,CDF Sonoma-Lake-Napa UnitåÊ,"June 6, 2005 12:16 pmåÊ",YoloåÊ,100%åÊ,Rumsey CanyonåÊ,"June 2, 2005 3:27 pmåÊ"
Sequoia FireåÊ,Ventura County FireåÊ,"December 9, 2006 8:00 amåÊ",Ventura CountyåÊ,100% contained - 367 acresåÊ,City of Simi Valley in the area of Sequoia Avenue and Fitzgerald Road. åÊ,"December 8, 2006 12:05 pmåÊ"
Westside Fire ,Kern County Fire DepartmentåÊ,"December 10, 2006 8:00 amåÊ",Kern CountyåÊ,"100% contained - 4,025 acresåÊ",Interstate 5 just South of the GrapevineåÊ,"December 7, 2006 6:01 pmåÊ"
Shekell Fire ,Ventura County FireåÊ,"December 6, 2006 8:00 amåÊ",VenturaåÊ,"100% contained - 13,600 acresåÊ",Grimes Valley area north of Moorpark.åÊ,"December 3, 2006 2:30 amåÊ"
Jefferson FireåÊ,San Bernardino National ForeståÊ,"November 23, 2006 7:00 pmåÊ",San BernardinoåÊ,100% contained - 125 acresåÊ,2 miles north of YucaipaåÊ,"November 21, 2006 10:18 pmåÊ"
Lookout Fire ,CDF Riverside Unit / Riverside County FireåÊ,"November 14, 2006 8:00 amåÊ",Riverside CountyåÊ,100% contained - 290 acresåÊ,Lakeland Village southwest of Lake ElisnoreåÊ,"November 12, 2006 4:30 pmåÊ"
Sierra Fire ,San Bernardino County / City of Rialto Fire DepartmentåÊ,"November 7, 2006 5:00 pmåÊ",San BernardinoåÊ,100% contained - 640 acresåÊ,"East of Sierra Ave, South of I-15, FontanaåÊ","November 6, 2006 7:30 amåÊ"
Esperanza Fire ,CDF Riverside Unit / Riverside County Fire åÊ,"November 1, 2006 7:00 amåÊ",åÊ,"100% containment - 40,200 acresåÊ",Esperanza and San Gorgonio WashåÊ,"October 26, 2006 1:12 amåÊ"
Felter FireåÊ,CDF Santa Clara UnitåÊ,"October 26, 2006 7:30 amåÊ",Santa Clara CountyåÊ,100% contained - 200 acresåÊ,Felter Rd & Calaveras RdåÊ,"October 25, 2006 2:30 pmåÊ"
Skunk FireåÊ,CDF Amador-El Dorado UnitåÊ,"October 25, 2006 7:00 amåÊ",El Dorado County åÊ,100% contained - 80 acres åÊ,Salmon Falls Rd & Skunk HallowåÊ,"October 24, 2006 2:00 pmåÊ"
Noble Fire ,CDF Mendocino UnitåÊ,"October 1, 2006 7:00 amåÊ",Mendocino CountyåÊ,"100% contained - 1,014 acresåÊ",8 miles east of PiercyåÊ,"September 24, 2006 6:46 pmåÊ"
Walker FireåÊ,Angeles National ForeståÊ,"September 25, 2006 11:30 amåÊ",Los Angeles CountyåÊ,100% contained - 206 acresåÊ,"South of Placerita Canyon Road, east of Placerita State Park, northwest of Santa Clara Divide.åÊ","September 23, 2006 3:56 pmåÊ"
Napa Fire ,CDF Sonoma-Lake-Napa UnitåÊ,"September 24, 2006 5:00 pmåÊ",Napa CountyåÊ,100% contained - 387 acresåÊ,West of Yountville off Hwy 29åÊ,"September 22, 2006 8:04 amåÊ"
Pines FireåÊ,Angeles National ForeståÊ,"September 23, 2006 6:00 amåÊ",Los AngelesåÊ,100% containted - 113 acresåÊ,Angeles Forest Highway and Angeles Crest Highway JunctionåÊ,"September 19, 2006 3:08 pmåÊ"
Mule FireåÊ,CDF Amador-El Dorado UnitåÊ,"September 21, 2006 8:00 amåÊ",El Dorado CountyåÊ,100% contained - 70 acres åÊ,"Hwy 193 northeast of Chile Bar, town of KelseyåÊ","September 19, 2006 1:50 pmåÊ"
Bassetts FireåÊ,Tahoe National ForeståÊ,"September 26, 2006 7:00 amåÊ",Sierra CountyåÊ,"100% contained - 2,114 acres åÊ",åÊ,"September 19, 2006 1:01 pmåÊ"
Pinnacles FireåÊ,San Bernardino National ForeståÊ,"September 23, 2006 6:00 amåÊ",San Bernardino åÊ,"100% contained - 2,370 acresåÊ",4 miles northwest of Lake ArrowheadåÊ,"September 19, 2006 9:29 amåÊ"
Ranch FireåÊ,CDF Riverside Unit / Riverside County FireåÊ,"September 18, 2006 7:00 pmåÊ",Riverside CountyåÊ,"100% contained - 1,658 acres åÊ","Banning area, Gilman Street and 10th StreetåÊ","September 17, 2006 11:32 amåÊ"
Orchard FireåÊ,CDF Riverside Unit / Riverside County FireåÊ,"September 18, 2006 7:00 amåÊ",Riverside CountyåÊ,"100% contained - 1,536 acres åÊ",Cherry Valley areaåÊ,"September 16, 2006 2:30 pmåÊ"
Sawmill FireåÊ,Inyo National ForeståÊ,"September 23, 2006 6:00 pmåÊ",Mono CountyåÊ,"100% contained - 7,434 acresåÊ","Sawmill Canyon, Adobe Hills, Black MountainåÊ","September 14, 2006 3:47 pmåÊ"
Ralston FireåÊ,Tahoe National ForeståÊ,"September 17, 2006 6:00 pmåÊ",Placer CountyåÊ,"100% contained - 8,423 acresåÊ",10 miles east of ForesthillåÊ,"September 5, 2006 3:51 pmåÊ"
Day FireåÊ,Los Padres National ForeståÊ,"October 2, 2006 6:30 pmåÊ",Ventura CountyåÊ,"100% contained - 162,702 acresåÊ",Southwest of Pyramid Land at Piru CreekåÊ,"September 4, 2006 1:55 pmåÊ"
51 FireåÊ,CDF Amador-El Dorado Unit / El Dorado National ForeståÊ,"September 3, 2006 7:00 pmåÊ",El DoradoåÊ,100% contained - 46 acresåÊ,"Iron Mountain 4 miles east of Sly Park, Southeast of Pollock PinesåÊ","September 2, 2006 10:00 pmåÊ"
Deer FireåÊ,CDF Amador-El Dorado UnitåÊ,"September 1, 2006 7:00 amåÊ",El DoradoåÊ,100% contained - estimated 75 acresåÊ,Cameron Park areaåÊ,"August 31, 2006 5:00 pmåÊ"
Emerald FireåÊ,San Bernardino National ForeståÊ,"September 1, 2006 7:00 amåÊ",San BernardinoåÊ,"100% contained - 2,129 acresåÊ",North of Mentone in the Morton Peak area.åÊ,"August 29, 2006 3:05 pmåÊ"
Plymouth Fire / Big FireåÊ,CDF Amador- El Dorado UnitåÊ,"August 29, 2006 7:00 pmåÊ",Plymouth (Amador) / Big (El Dorado)åÊ,"Plymouth - 100% contained, 42 acresBig - 100% contained, 7 acresåÊ",Plymouth - 1-1/2 miles N. of PlymouthBig - Big Cut Road & Oak Hill.åÊ,"August 28, 2006 12:00 pmåÊ"
Cross FireåÊ,Los Angeles County FireåÊ,"August 29, 2006 7:00 pmåÊ",Los Angeles County åÊ,100% contained - 665 acres åÊ,"Placerita Cyn Rd/Sand Canyon Rd., Santa ClaritaåÊ","August 28, 2006 10:39 amåÊ"
Boundary FireåÊ,Yosemite National ParkåÊ,"August 28, 2006 7:00 amåÊ",MariposaåÊ,100% contained - 536 acresåÊ,1.5 miles NW of El Capitan near Yosemite ValleyåÊ,"August 21, 2006 3:00 pmåÊ"
Foresthill Fire ,CDF Nevada-Yuba-Placer UnitåÊ,"August 21, 2006 4:45 pmåÊ",PlaceråÊ,100% contained - 45 acresåÊ,Foresthill Road and Old Auburn Road. åÊ,"August 20, 2006 4:00 pmåÊ"
Rollins Fire ,CDF Nevada-Yuba-Placer UnitåÊ,"August 21, 2006 8:00 amåÊ",Nevada CountyåÊ,100% contained - 37 acres åÊ,You Bet Road and Red Dog RoadåÊ,"August 19, 2006 2:38 pmåÊ"
Marysville Fire ,CDF Nevada-Yuba-Placer UnitåÊ,"August 19, 2006 8:00 amåÊ",Yuba CountyåÊ,100% contained - 442 acres åÊ,North of DobbinsåÊ,"August 16, 2006 1:05 pmåÊ"
Quail Fire ,Los Angeles County FireåÊ,"August 16, 2006 7:00 amåÊ",Los Angeles CountyåÊ,"100% contained - 4,864 acresåÊ","North bound 5 at Quail Lake Road, GormanåÊ","August 13, 2006 12:33 pmåÊ"
Gilman FireåÊ,CDF Riverside Unit/Riverside County FireåÊ,"August 14, 2006 7:00 pmåÊ",Riverside CountyåÊ,100% contained - 360 acresåÊ,"Gilman Springs, Northeast of San JacintoåÊ","August 12, 2006 5:04 pmåÊ"
Creek FireåÊ,CDF Riverside Unit/Riverside County Fire åÊ,"August 14, 2006 7:00 amåÊ",Riverside CountyåÊ,100% contained  - 200 acresåÊ,Hwy 111 and I-10åÊ,"August 12, 2006 3:15 pmåÊ"
Golf FireåÊ,CDF Riverside Unit/Riverside County Fire åÊ,"August 10, 2006 7:00 pmåÊ",RiversideåÊ,100% contained - 800 acresåÊ,San Jacinto AreaåÊ,"August 8, 2006 2:13 pmåÊ"
Mountain FireåÊ,CDF Riverside Unit/Riverside County Fire åÊ,"August 9, 2006 7:00 pmåÊ",RiversideåÊ,100% contained - 113 acresåÊ,Banning areasåÊ,"August 8, 2006 10:36 amåÊ"
Junction Fire ,CDF Shasta-Trinity UnitåÊ,"August 2, 2006 6:00 pmåÊ",TrinityåÊ,"100%  contained - 3,126 acresåÊ",West of WeavervilleåÊ,"July 29, 2006 12:20 pmåÊ"
Bar Complex (Pigeon Fire)åÊ,Shasta - Trinity National Forest åÊ,"November 15, 2006 8:00 amåÊ",Trinity CountyåÊ,"100% contained - 100,414 acresåÊ",North and northwest of WeavervilleåÊ,"July 26, 2006 5:05 pmåÊ"
Sage FireåÊ,Modoc National Forest åÊ,"August 5, 2006 7:00 amåÊ",Modoc CountyåÊ,"100% contained - 6,200 acresåÊ",15 miles north of AlturasåÊ,"July 26, 2006 10:30 amåÊ"
Shasta Fire ,CDF Shasta-Trinity UnitåÊ,"July 30, 2006 7:00 amåÊ",ShastaåÊ,100% contained - 225 acresåÊ,North of Shasta Lake City åÊ,"July 25, 2006 3:52 pmåÊ"
Lakin FireåÊ,Shasta National ForeståÊ,"July 10, 2006 7:00 pmåÊ",Siskiyou CountyåÊ,100% contained - 480 acresåÊ,"26 miles NE of McCloud, CA.åÊ","July 25, 2006 2:00 pmåÊ"
Kingsley ComplexåÊ,Mendocino National ForeståÊ,"August 7, 2006 7:00 amåÊ",Mendocino CountyåÊ,"100% contained  - 6,854 acresåÊ",38 miles SW of Red Bluff.åÊ,"July 25, 2006 5:30 amåÊ"
Hunter FireåÊ,Mendocino National Forest åÊ,"August 16, 2006 7:00 pmåÊ",Mendocino CountyåÊ,"100% contained - 16,296 acresåÊ","Hunter Ridge, 19 miles southeast of Covelo.åÊ","July 24, 2006 5:45 pmåÊ"
Orleans ComplexåÊ,Six Rivers National ForeståÊ,"November 8, 2006 7:00 amåÊ",HumboldtåÊ,"100% contained - 15,710 acresåÊ",åÊ,"July 24, 2006 11:55 amåÊ"
Auberry Complex ,CDF Fresno-Kings UnitåÊ,"July 27, 2006 7:00 amåÊ",Fresno åÊ,100% contained - 300 acresåÊ,Auberry/PowerhouseåÊ,"July 23, 2006 7:30 pmåÊ"
SHF Lightning ComplexåÊ,Klamath National ForeståÊ,"July 31, 2006 7:00 pmåÊ",Siskiyou CountyåÊ,100% contained - 31 acresåÊ,"Klamath National Forest, forest wideåÊ","July 23, 2006 6:01 pmåÊ"
Mt. Pinos Lightning ComplexåÊ,Los Padres National ForeståÊ,"July 30, 2006 7:00 amåÊ",Kern CountyåÊ,"100% contained - 3,179 acresåÊ",2 Miles north west of Frazier ParkåÊ,"July 23, 2006 1:30 pmåÊ"
San Rafael Lightning ComplexåÊ,Los Padres National ForeståÊ,"July 30, 2006 7:00 pmåÊ",Santa Barbara CountyåÊ,"100% contained - 2,026 acresåÊ",San Rafael WildernessåÊ,"July 23, 2006 1:00 pmåÊ"
Uncles ComplexåÊ,Klamath National ForeståÊ,"October 23, 2006 5:00 pmåÊ",Siskiyou CountyåÊ,"100% contained - 30,454 acres åÊ","North of Sawyers Bar, Marble Mt. WildernessåÊ","July 23, 2006 1:00 pmåÊ"
Horse Fire ,CDF San Diego Unit / Cleveland National Forest Cleveland National ForeståÊ,"July 30, 2006 7:00 amåÊ",San DiegoåÊ,"100% contained - 16,681 acresåÊ","5 miles south of Alpine, Horse Thief CanyonåÊ","July 23, 2006 6:04 amåÊ"
Coyote ComplexåÊ,CDF Riverside Unit/Riverside County FireåÊ,"July 27, 2006 7:00 amåÊ",RiversideåÊ,100% contained - 460 acresåÊ,Coyote Canyon and Covered Wagon near AnzaåÊ,"July 23, 2006 2:11 amåÊ"
Whispering Pines FireåÊ,Joshua Tree National ParkåÊ,"July 26, 2006 7:00 amåÊ",San BernardinoåÊ,100% contained - 993 acresåÊ,La Contenta X Covington Flats Road; Joshua Tree ParkåÊ,"July 23, 2006 1:15 amåÊ"
Happy Camp FireåÊ,Klamath National ForeståÊ,"September 24, 2006 5:30 pmåÊ",Siskiyou CountyåÊ,"100% contained - 6,134 acresåÊ","Happy Camp, CAåÊ","July 23, 2006 1:01 amåÊ"
Oak FireåÊ,San Bernardino National ForeståÊ,"July 26, 2006 7:00 amåÊ",RiversideåÊ,100% contained - 225 acresåÊ,"Red Mountain, AnzaåÊ","July 23, 2006 1:00 amåÊ"
Three Rocks FireåÊ,CDF Fresno-Kings UnitåÊ,"July 24, 2006 7:00 amåÊ",Fresno CountyåÊ,"100% contained - 6,500 acres åÊ",20 miles north of City of CoalingaåÊ,"July 22, 2006 8:00 pmåÊ"
Rico Fire ,CDF San Benito-Monterey UnitåÊ,"July 28, 2006 7:00 pmåÊ",Monterey åÊ,"100% contained - 14,507 acresåÊ",East of the community of San Ardo.åÊ,"July 22, 2006 6:04 pmåÊ"
Ramp FireåÊ,San Bernardino National ForeståÊ,"July 24, 2006 7:00 amåÊ",San BernardinoåÊ,100% contained - 447 acresåÊ,Interstate 15 and Hwy 138åÊ,"July 22, 2006 11:29 amåÊ"
Empire Fire ,Los Angeles County åÊ,"July 28, 2006 7:00 amåÊ",Los AngelesåÊ,"100% contained - 1,094 acresåÊ",Catalina Island near the airport.åÊ,"July 22, 2006 8:12 amåÊ"
Middle T FireåÊ,Yosemite National ParkåÊ,"August 28, 2006 7:00 amåÊ",TuolumneåÊ,100% contained - 451 acres åÊ,5 miles East Southeast of White Wolf in the Middle Fork Tuolumne River drainage.åÊ,"July 20, 2006 4:01 pmåÊ"
Covington FireåÊ,CDF San Bernardino UnitåÊ,"July 22, 2006 7:00 amåÊ",San BernardinoåÊ,100% contained - 280 acresåÊ,"La Contenta & Covington Flat Road, Town of Yucca ValleyåÊ","July 20, 2006 12:00 pmåÊ"
Hub FireåÊ,CDF Tuolumne-Calaveras UnitåÊ,"July 22, 2006 7:00 amåÊ",Calaveras åÊ,100% contained-130 acresåÊ,2 miles southwest of  CopperopolisåÊ,"July 19, 2006 3:00 pmåÊ"
Creek Fire ,CDF Lassen-Modoc UnitåÊ,"July 23, 2006 7:00 amåÊ",LassenåÊ,"100% contained - 1,611 acresåÊ",3 miles southwest of Susanville in the Cheney Creek areaåÊ,"July 18, 2006 4:26 pmåÊ"
29 Fire ,CDF Sonoma-Lake-Napa UnitåÊ,"July 22, 2006 7:00 amåÊ",LakeåÊ,100% contained - 550 acresåÊ,4 miles south of Middletown on Highway 29åÊ,"July 17, 2006 8:55 pmåÊ"
Geysers FireåÊ,CDF Mendocino UnitåÊ,"July 19, 2006 7:00 pmåÊ",MendocinoåÊ,100% contained - 321 acresåÊ,"Hwy 101, north of Mendocino/Sonoma county line.åÊ","July 17, 2006 4:40 pmåÊ"
Ore FireåÊ,CDF Amador-El Dorado UnitåÊ,"July 16, 2006 7:00 pmåÊ",El DoradoåÊ,100% contained - 40 acresåÊ,Hwy 49 between Diamond Springs & Consumnes RiveråÊ,"July 16, 2006 5:30 pmåÊ"
Heart-Millard ComplexåÊ,San Bernardino National ForeståÊ,"September 10, 2006 7:00 pmåÊ",San BernardinoåÊ,"100% contained - 24,000 acresåÊ",åÊ,"July 14, 2006 7:22 amåÊ"
Cary FireåÊ,CDF  Riverside Unit/ Riverside County FireåÊ,"July 12, 2006 7:00 pmåÊ",RiversideåÊ,100% contained - 81 acresåÊ,Hwy 371 & Cary RdåÊ,"July 12, 2006 12:39 pmåÊ"
Midway Fire ,CDF Santa Clara UnitåÊ,"July 12, 2006 7:00 amåÊ",AlamedaåÊ,"100% contained - 6,400 acresåÊ",Patterson Pass and Midway RdåÊ,"July 11, 2006 3:20 pmåÊ"
Arco FireåÊ,Kern County FireåÊ,"July 12, 2006 7:00 amåÊ",KernåÊ,100% contained - 698 acresåÊ,"Digier Canyon, West of I-5 near Fort TejonåÊ","July 9, 2006 4:38 pmåÊ"
Canyon Fire ,CDF Santa Clara UnitåÊ,"July 19, 2006 7:00 amåÊ",StanislausåÊ,"100% contained - 34,217 acresåÊ","Del Puerto Canyon, west of PattersonåÊ","July 9, 2006 3:55 pmåÊ"
Sawtooth Complex ,CDF San Bernardino UnitåÊ,"July 19, 2006 6:30 pmåÊ",San BernardinoåÊ,"100% contained - 61,700 acresåÊ",East of Yucca ValleyåÊ,"July 9, 2006 8:30 amåÊ"
Pedro Fire ,CDF Tuolumne-Calaveras UnitåÊ,"July 7, 2006 7:00 amåÊ",TuolumneåÊ,"100% contained - 1,998 acresåÊ","Don Pedro Reservoir & Hwy 49, near Moccasin Power HouseåÊ","July 3, 2006 12:39 pmåÊ"
Del Puerto Fire ,CDF Santa Clara UnitåÊ,"July 4, 2006 6:00 amåÊ",StanislausåÊ,"100% contained - 2,593 acresåÊ","Del Puerto Canyon Road, near Frank Raines Park, west of Patterson, off I-5åÊ","June 30, 2006 11:48 amåÊ"
Goodale FireåÊ,CDF San Bernardino UnitåÊ,"June 29, 2006 6:00 pmåÊ",InyoåÊ,"100% contained - 3,750 acresåÊ",Aberdeen Area (between Independence & Big Pine)åÊ,"June 26, 2006 2:34 pmåÊ"
Lassen/Modoc Lightning Fires ,CDF Lassen-Modoc Unit / Plumas & Modoc National ForestsåÊ,"July 5, 2006 7:00 amåÊ",Lassen & ModocåÊ,"100% contained - 3,500 acres Boulder Complex (Plumas National Forest) åÊ",åÊ,"June 25, 2006 5:00 pmåÊ"
Perkins FireåÊ,Los Padres National ForeståÊ,"June 25, 2006 7:00 pmåÊ",Santa BarbaraåÊ,"100% contained - 15,043 acresåÊ",South of the community of NewåÊ,"June 19, 2006 3:18 pmåÊ"
Arrastre Fire ,San Bernardino National ForeståÊ,"June 9, 2006 3:33 pmåÊ",San BernardinoåÊ,100% contained - 361 acresåÊ,6 miles east of Big Bear CityåÊ,"June 9, 2006 12:51 pmåÊ"
Sierra Fire ,USFS/Orange County FireåÊ,"February 12, 2006 6:00 pmåÊ",Orange/Riverside CountiesåÊ,"100% contained - 10,584 acresåÊ",Corona/OrangeåÊ,"February 6, 2006 4:30 amåÊ"
Plunge Fire ,San Bernardino National ForeståÊ,"June 19, 2006 3:38 pmåÊ",San BernardinoåÊ,100% contained - 485 acresåÊ,2-3 miles south of Running SpringåÊ,"January 23, 2006 12:32 pmåÊ"
