name,administrative_unit,last_update,county,acres_burned,status_notes,location,date_started,date_only,time_24hh
Harris Fire ,CAL FIRE / San Diego County Operational Area,11/5/07 21:45,San Diego County,"90,440","100% contained - 90,440 acres",Highway 94 and Harris Ranch Rd near Portrero ,10/21/07 9:23,10/21/07,9:23:00
La Brea Fire,Los Padres National Forest,8/22/09 6:15,Santa Barbara County,"89,489","89,489 acres - 100% contained",21 miles east of Santa Maria,8/8/09 14:50,8/8/09,14:50:00
Long Valley Fire,Bureau of Land Management,1/9/18 11:52,Lassen County,"83,733","83,733 acres - 100% contained *** This is not a CAL FIRE incident. Click the link above for more information. ","off Hwy 395 and Cowboy Joe Rd, 3 miles north of Doyle",7/11/17 14:15,7/11/17,14:15:00
Modoc July Complex,Modoc National Forest,1/9/18 12:05,Modoc County,"83,120","83,120 acres - 100% contained*** This is not a CAL FIRE incident. Click the ling above from the Modoc National Forest ",throughout Modoc County,7/24/17 12:00,7/24/17,12:00:00
Eclipse Complex,Klamath National Forest,1/9/18 12:43,Siskiyou County,"78,698","78,698 acres - 100% contained *** This is not a CAL FIRE incident. Click on the link for more information.","5 miles W of Happy Camp, CA",8/15/17 7:55,8/15/17,7:55:00
River Complex,USFS - Shasta-Trinity National Forest,7/31/15 20:25,Trinity County,"77,081","77,081 acres - 100% contained  ***This is not a CAL FIRE incident. Click the link above for more information from the Shasta-Trinity National Forest.***","Near the communities of Dailey Ranch, Hoboken, Denny and Trinity Village.",7/30/15 22:30,7/30/15,22:30:00
Chips Fire,Plumas National Forest,8/31/12 18:30,Plumas County,"75,431","75,431 acres - 100% containedThis was NOT a CAL FIRE Incident.** Click the link above for information from the US Forest Service.  ",2 miles northwest of Belden,7/29/12 1:57,7/29/12,1:57:00
Moonlight Fire ,Plumas National Forest,9/19/07 7:00,Plumas County,64997,"100% contained - 64,997 acresSix miles Northeast of Greenville",Six miles Northeast of Greenville,9/3/07 14:25,9/3/07,14:25:00
Delta Fire,USFS Shasta-Trinity National Forest,1/4/19 9:07,"Shasta County,Trinity County","63,311","63,311 acres - 100% contained***CAL FIRE is no longer in Unified Command on this incident. Click the link for more information from the USFS Shasta-Trinity National Forest.","I-5 and Lamoine, 2 miles NW of Lakehead ",9/5/18 12:51,9/5/18,12:51:00
Sawtooth Complex ,CDF San Bernardino Unit,7/19/06 18:30,San Bernardino,"61,700","100% contained - 61,700 acres",East of Yucca Valley,7/9/06 8:30,7/9/06,8:30:00
Lime Complex ,Shasta National Forest,7/27/08 6:00,Trinity County,"55,773","74% contained - 55,773 acres ",5 miles south of Hyampom,6/20/08 16:50,6/20/08,16:50:00
July Complex,CAL FIRE Siskiyou Unit / USFS-Klamath National Forest,8/6/14 10:00,Siskiyou County,"50,042","50,042 acres - 100% contained ***This was not a CAL FIRE incident. Click on the link above for more information. 50,042 acres Ã¢Â€Â“ 100% contained",Whites Fire approximately 4 miles East of Sawyer Bar Log Fire approximately 6 miles West of GreenviewLeef Fire approximately 7 miles Southwest of Callahan. ,8/2/14 9:00,8/2/14,9:00:00
Poomacha Fire ,CAL FIRE / San Diego County Operational Area,11/9/07 6:30,San Diego,"49,410","100% contained - 49,410 acres","Hwy 76, Pauma Valley",10/23/07 15:13,10/23/07,15:13:00
Erskine Fire,Bureau of Land Management,7/11/16 9:40,Kern County,"48,019","48,019 acres - 100% contained",Off Erskine Creek Rd in Lake Isabella,6/23/16 15:51,6/23/16,15:51:00
Lick Fire ,CAL FIRE Santa Clara Unit,9/11/07 19:45,Santa Clara County,47760,"100% contained - 47,760 acresHenry Coe State Park","Henry Coe State Park, east of Gilroy",9/3/07 13:45,9/3/07,13:45:00
Bagley Fire,Shasta-Trinity National Forest,9/15/12 20:00,Shasta County,"46,011","46,011 acres - 100% containedThis was NOT a CAL FIRE Incident.** Click the link above for information from the US Forest Service. ",4 miles west of Big Bend ,9/5/12 14:40,9/5/12,14:40:00
North Pass Fire,Mendocino National Forest,9/17/12 12:00,Mendocino County,"41,983","41,983 - 100% containedThis was NOT a CAL FIRE Incident. * Click above for more information on this fire from the US Forest Service.","Mendocino Pass Rd, northeast of Covelo ",8/18/12 2:47,8/18/12,2:47:00
Esperanza Fire ,CDF Riverside Unit / Riverside County Fire ,11/1/06 7:00,,"40,200","100% containment - 40,200 acres",Esperanza and San Gorgonio Wash,10/26/06 1:12,10/26/06,1:12:00
Bald Fire,CAL FIRE Lassen-Modoc Unit / USFS - Lassen National Forest,8/15/14 14:00,Shasta County,"39,736","39,736 acres - 100% contained",8 miles southeast of Fall River Mills,7/30/14 20:15,7/30/14,20:15:00
Miller Complex,Rogue River-Siskiyou National Forest,1/9/18 12:42,Siskiyou County,"39,715","39,715 acres - 100% contained **This is not a CAL FIRE incident. Click on the link above for more information.","17 miles east of Cave Junction, Oregon",8/14/17 14:00,8/14/17,14:00:00
Stone Fire,Modoc National Forest,1/4/19 9:20,Modoc County,"39,387","39,387 acres - 100% contained *** This is not a CAL FIRE incident. Click the link for more information","Big Canyon, 10 miles SW of Canby",8/15/18 18:05,8/15/18,18:05:00
Barry Point Fire,US Forest Service / Fremont-Inema National Forest,8/28/12 9:20,Modoc County & State of Oregon,"38,394","93,071 acres (38,394 acres in CA) - 100% containedThis was NOT a CAL FIRE Incident.** Click the link above for information from the US Forest Service.  ","West of Goose Lake, along the Oregon & California Border",8/6/12 16:17,8/6/12,16:17:00
Natchez Fire,USFS Rogue River-Siskiyou National Forest,1/4/19 9:42,,"38,134","38,134 acres - 100% contained*** This is not a CAL FIRE incident. Click the link for more information","outheast of Cave Junction, OR",7/15/18 18:30,7/15/18,18:30:00
Fork Complex,USFS - Shasta-Trinity National Forest,8/24/15 10:00,Trinity County,"36,503","36,503 acres - 100% contained ***This is not a CAL FIRE incident.  Click the link above for more info.***","Near the communities of Hayfork, Hyampom, and Harrison Gulch,",7/30/15 21:30,7/30/15,21:30:00
Donnell Fire,Stanislaus National Forest,1/4/19 9:26,Tuolumne County,"36,450","36,450 acres - 100% contained *** This is not a CAL FIRE incident. Click the link for more information.","Near Hwy 108, Donnell Lake area in the Carson Iceburg Wilderness",8/1/18 17:48,8/1/18,17:48:00
Inyo Complex,Inyo National Forest,7/14/07 20:00,Inyo County,"35,176","100% contained - 35,176 acres",Various locations on Inyo National Forest,7/6/07 13:40,7/6/07,13:40:00
Canyon Fire ,CDF Santa Clara Unit,7/19/06 7:00,Stanislaus,"34,217","100% contained - 34,217 acres","Del Puerto Canyon, west of Patterson",7/9/06 15:55,7/9/06,15:55:00
Telegraph Fire ,CAL FIRE Madera-Mariposa-Merced Unit,8/6/08 12:00,Mariposa County ,"34,091","34,091 acres - 100% contained",Telegraph Road and Sherlock Road in the Midpines Area,7/25/08 15:15,7/25/08,15:15:00
Gap Fire,USFS Klamath National Forest,8/28/16 18:15,Siskiyou County,"33,867","33,867 acres - 100% contained **This is NOT a CAL FIRE incident. For more information from the US Forest Service, click on the link above.","off Seiad Creek Rd, 5 miles northeast o Seiad Valley",8/27/16 18:00,8/27/16,18:00:00
Rey Fire ,Los Padres National Forest,9/15/16 15:20,Santa Barbara County,"32,606","32,606 - 100% contained *** CAL FIRE is no longer in Unified Command of the Rey Fire. Click the link above for the latest information from the Los Padres National Forest.","off of Hwy 154 and Paradise Rd, north of Santa Barbara",8/18/16 17:57,8/18/16,17:57:00
Beaver Fire,US Forest Service - Klamath National Forest,9/2/14 13:00,Siskiyou County,"32,496","32,496 acres - 100% contained***This was not a CAL FIRE incident.  Click on the link above for more information.","orth of Highway 96, off of Beaver Creek Road",7/30/14 0:00,7/30/14,0:00:00
Lake Fire,CAL FIRE / San Bernardino National Forest / San Bernardino County Fire/ San Bernardino County Sheriffs,8/1/15 22:15,San Bernardino County,"31,359","31,359 acres - 100% contained","Off Hwy 38, south of Big Bear Lake",6/17/15 15:52,6/17/15,15:52:00
Uncles Complex,Klamath National Forest,10/23/06 17:00,Siskiyou County,"30,454","100% contained - 30,454 acres ","North of Sawyers Bar, Marble Mt. Wilderness",7/23/06 13:00,7/23/06,13:00:00
Gasquet Complex,USFS - Six Rivers National Forest,8/4/15 9:00,Del Norte County,"30,361","30,361 acres - 100% contained ***This is not a CAL FIRE incident.  Check the link above for more information from the US Forest Service.***",Gasquet area,7/31/15 21:00,7/31/15,21:00:00
Powerhouse Fire,USFS Angeles National Forest/Los Angeles County/CAL FIRE,6/8/13 18:30,Los Angeles County,"30,274","30,274 acres - 100% contained**Click the link above for more information from the USFS.",Angeles National Forest,5/30/13 15:28,5/30/13,15:28:00
Mill Fire,Mendoncino National Forest / CAL FIRE,7/19/12 8:00,Colusa County,"29,502","29,502 acres - 100% containedOn 7/11/2012 CAL FIRE entered into a Unified Command with the Forest Service.","10 miles west of Stonyford, Mendocino National Forest",7/7/12 15:00,7/7/12,15:00:00
South Complex,USFS - Shasta - Trinity National Forest,8/3/15 14:00,Trinity County,"29,416","29,416 acres - 100% contained *** This is not a CAL FIRE incident. Click the link above for more information from the Shasta - Trinity National Forest.** ",Hyampom area,7/30/15 16:00,7/30/15,16:00:00
Comanche Fire Complex ,Kern County Fire / CAL FIRE,9/16/11 6:00,Kern County ,"29,338","4 fires totaling 29,338 acres - 100% contained",5 miles south east of Arvin,9/10/11 4:00,9/10/11,4:00:00
Cedar Fire,Sequoia National Forest,10/1/16 6:00,Kern County,"29,322","29,322 acres - 100% contained *This is NOT a CAL FIRE incident. For more information, click on the link above.","off of Hwy 155 in the Greenhorn Mountains, west of Wofford Heights",8/16/16 16:35,8/16/16,16:35:00
Garner Complex,Oregon Department of Forestry,1/4/19 9:42,,"29,016","29,016 acres - 100% contained ***This is not a CAL FIRE incident. Click the link above for more information. ","west of Hwy 199, 4 mi northwest of Cave Junction, OR",7/16/18 15:00,7/16/18,15:00:00
Santiago Fire ,Orange County Fire Authority/Cleveland National Forest,11/9/07 6:30,Orange County,"28,400","100% contained - 28,400 acres",Santiago Canyon and Silverado Canyon ,10/21/07 17:55,10/21/07,17:55:00
Reading Fire,Lassen Volcanic National Park,8/22/12 8:00,Shasta County,"28,079","28,079 - 100% contained This was NOT a CAL FIRE Incident.** Click the link above for information from the National Park Service. ",14 miles south of Old Station,7/23/12 17:09,7/23/12,17:09:00
Ponderosa Fire ,CAL FIRE Tehama-Glenn Unit,8/31/12 18:00,Tehama & Shasta Counties,"27,676","27,676 acres - 100% contained","Off Ponderosa Way, southeast of Manton",8/18/12 11:37,8/18/12,11:37:00
Mountain Fire,CAL FIRE Riverside Unit / San Bernardino National Forest,7/30/13 18:00,Riverside County,"27,531","27,531 acres - 100% contained",Hwy 243 & Hwy 74 near Mountain Center,7/15/13 13:43,7/15/13,13:43:00
American Fire,Tahoe National Forest,8/30/13 8:00,Placer County,"27,440","27,440 acres - 100% contained *** This was not a CAL FIRE incident. Click the link above for information from the Tahoe National Forest. ***","Deadwood Ridge, northeast of Foresthill",8/10/13 16:30,8/10/13,16:30:00
Orleans Complex,Six Rivers National Forest,1/9/18 12:07,Siskiyou County,"27,276","27,276 acres - 100% contained *** This is not a CAL FIRE incident.Click the link above for information from Six Rivers National Forest","About 18 miles northwest of Orleans, California in Siskiyou County.",7/26/17 18:00,7/26/17,18:00:00
Breckenridge Complex ,Sequoia National Forest / Kern County Fire / CAL FIRE,9/18/11 8:00,Kern County,"25,213","25,213 acres - 100% contained.","Breckenridge Rd., east of Comanche Rd., Walker Basin Areaâ€¬â€¬",9/10/11 10:55,9/10/11,10:55:00
Springs Fire ,Ventura County Fire/CAL FIRE,5/11/13 6:30,Ventura County,"24,251","24,251 acres - 100% contained ","Southbound Highway 101 at Camarillo Springs Road, Camarillo",5/2/13 7:01,5/2/13,7:01:00
Heart-Millard Complex,San Bernardino National Forest,9/10/06 19:00,San Bernardino,"24,000","100% contained - 24,000 acres",,7/14/06 7:22,7/14/06,7:22:00
Fort Complex,Klamath National Forest,9/11/12 10:30,Siskiyou County,"23,653","23,653 acres - 100% contained. This was NOT a CAL FIRE Incident.** Click the link above for information from the US Forest Service.","10 miles northwest of Happy Camp, CA",8/5/12 19:00,8/5/12,19:00:00
Humboldt Fire ,CAL FIRE/Butte County Fire,6/21/08 18:00,Butte County,"23,344","100% contained - 23,344  acres ",Hwy 32 & Humboldt Rd on Stillson Canyon,6/11/08 12:13,6/11/08,12:13:00
Holy Fire,Cleveland National Forest,1/4/19 9:23,Orange County,"23,136","23,136 acres - 100% contained *** This is not a CAL FIRE incident. Click the link for more information from the Cleveland National Forest on this fire. ","Holy Jim Canyon, west of N. Main Divide",8/6/18 13:20,8/6/18,13:20:00
Aspen Fire,Sierra National Forest,9/24/13 20:15,Fresno County,"22,992","22,992 acres - 100% contained*** This was not a CAL FIRE incident.  Please click the link above for more information from the Sierra National Forest.***",Seven miles north of Big Creek,7/22/13 22:15,7/22/13,22:15:00
Antelope Complex,Plumas National Forest,7/14/07 20:00,Plumas,"22,902","100% contained - 22,902 acres ",Antelope Lake Recreational Area,7/5/07 16:00,7/5/07,16:00:00
Vallecito Lightning Complex ,CAL FIRE San Diego Unit,8/19/12 6:30,San Diego County,22828,"6 fires totaling 22,828 acres - 100% contained",eastern San Diego County,8/12/12 20:00,8/12/12,20:00:00
Helena - Fork Fire,Shasta-Trinity National Forest,1/9/18 12:49,Trinity County,"21,846","21,846 acres - 100% contained *** This is not a CAL FIRE incident. Click on the link for more information.","Hwy 299 near town of Helena, Junction City",8/30/17 18:00,8/30/17,18:00:00
Ammo Fire ,Camp Pendleton/San Diego County Operational Area,10/29/07 6:00,San Diego County,"21,004","100% contained- 21,004 acres","Camp Pendleton USMC, North of San Diego",10/23/07 21:20,10/23/07,21:20:00
Lion Fire,USFS - Sequoia National Forest,1/9/18 13:27,Tulare County,"18,900","18,900 acres - 100% contained *** This is not a CAL FIRE incident. Click on the link for more information.",Golden Trout Wilderness near Lion Meadow.,9/27/17 14:00,9/27/17,14:00:00
Whaleback Fire,Unified Command: CAL FIRE and USFS Lassen National Forest,1/4/19 9:32,Lassen County,"18,703","18,703 acres - 100% contained ***This is no longer a CAL FIRE incident. Click the link for more information.","off Whaleback Mountain and Antelope Valley Road, West of Spaulding",7/27/18 13:32,7/27/18,13:32:00
R-4 Fire,BLM Northern California District ,1/9/18 12:48,Lassen County,"18,618","18,618 acres - 100% contained *** This is not a CAL FIRE incident. Click the link above for more information from the Bureau of Land Management. ",23 miles east-southeast of Madeline,8/30/17 8:30,8/30/17,8:30:00
Whittier Fire,Los Padres National Forest,1/9/18 11:49,Santa Barbara County,"18,430","18,430 acres - 100% contained ***This is not a CAL FIRE incident. Click the link above for information from the USFS","Lake Cachuma area, south of Hwy 154",7/8/17 13:43,7/8/17,13:43:00
16 Complex ,CAL FIRE Sonoma-Lake-Napa Unit,9/11/12 6:30,Colusa County,"17,944","17,944 acres - 100% contained (2 fires)","Off Hwy 16, south of Hwy 20 in the Rumsey Canyon area.",9/4/12 15:45,9/4/12,15:45:00
Elk Complex,Klamath National Forest,9/17/07 7:30,Siskiyou,"17,684","90% contained - 17,684 acresThe Elk Complex is 90% contained. Crews continue to monitor. Check www.fs.fed.us/r5/klamath/conditions/ or call the Fire Information Center at (530) 841-4451 for current information on road, trail, and river access closures. Full containment expected October 30, 2007. ",Happy Camp Ranger District,7/10/07 22:00,7/10/07,22:00:00
SHU Lightning ,CAL FIRE Shasta-Trinity Unit,8/18/09 7:00,Shasta,"17,623","17,623 acres - 100% contained",Burney Area,8/1/09 21:00,8/1/09,21:00:00
Guiberson Fire ,Ventura County Fire,9/27/09 7:30,Ventura County,"17,500","17,500 acres - 100% contained ",Guiberson Canyon between Fillmore & Moorpark,9/22/09 10:33,9/22/09,10:33:00
Horse Fire ,CDF San Diego Unit / Cleveland National Forest Cleveland National Forest,7/30/06 7:00,San Diego,"16,681","100% contained - 16,681 acres","5 miles south of Alpine, Horse Thief Canyon",7/23/06 6:04,7/23/06,6:04:00
Hunter Fire,Mendocino National Forest ,8/16/06 19:00,Mendocino County,"16,296","100% contained - 16,296 acres","Hunter Ridge, 19 miles southeast of Covelo.",7/24/06 17:45,7/24/06,17:45:00
Schaeffer Fire,Sequoia National Forest,1/9/18 11:01,Tulare County,"16,031","16,031 acres - 100% contained *** This is not a CAL FIRE incident. Click the link above for more information.",Within the 2002 McNally wildfire burn area (17 miles north of Kernville),6/24/17 16:16,6/24/17,16:16:00
Orleans Complex,Six Rivers National Forest,11/8/06 7:00,Humboldt,"15,710","100% contained - 15,710 acres",,7/24/06 11:55,7/24/06,11:55:00
Perkins Fire,Los Padres National Forest,6/25/06 19:00,Santa Barbara,"15,043","100% contained - 15,043 acres",South of the community of New,6/19/06 15:18,6/19/06,15:18:00
Salmon River Complex,Klamath National Forest,8/31/13 6:45,Siskiyou County,"14,754","14,754 acres - 100% contained. ***This was not a CAL FIRE incident. Click the link above for information from the Klamath National Forest.","North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",7/31/13 22:00,7/31/13,22:00:00
Canyon Fire ,Kern County Fire / CAL FIRE / BLM,9/10/11 20:30,Kern County,"14,585","14,585 acres - 100% contained","Blackburn Canyon Road at Snowshoe Lane, Tehachapi",9/4/11 11:30,9/4/11,11:30:00
Rico Fire ,CDF San Benito-Monterey Unit,7/28/06 19:00,Monterey ,"14,507","100% contained - 14,507 acres",East of the community of San Ardo.,7/22/06 18:04,7/22/06,18:04:00
Walker Fire ,CAL FIRE Sonoma-Lake-Napa Unit,7/3/08 7:00,Lake County,"14,500","100% contained - 14,500 acres                      ",Indian Valley Reservoir,6/22/08 16:41,6/22/08,16:41:00
Pulgas Fire,Marine Corps Base Camp Pendleton,5/21/14 17:00,San Diego County,"14,416","14,416 acres - 100% contained***This was NOT a CAL FIRE incident. Click the link above for info from the Pendleton Fire Dept","Off Interstate 5 at Las Pulgas Rd, north of Oceanside",5/15/14 14:45,5/15/14,14:45:00
Eagle Fire ,CAL FIRE San Diego Unit,8/1/11 7:00,San Diego County,"14,100","14,100 acres - 100% contained","Los Coyotes Indian Reservation, Warner Springs",7/21/11 22:40,7/21/11,22:40:00
Butler II Fire,San Bernardino National Forest,9/21/07 10:00,San Bernardino County,14039,"100% contained - 14,039 acresNorth of Big Bear",Northwest of Big Bear,9/14/07 13:51,9/14/07,13:51:00
Crown Fire,Los Angeles County Fire,8/3/10 7:00,Los Angeles County,"13,918","13,918 acres - 100% contained","North of Sierra Highway at Anthony Road, southwest of Palmdale",7/29/10 14:22,7/29/10,14:22:00
French Fire,US Forest Service - Sierra National Forest,7/28/14 14:30,Madera County,"13,838","13,838 acres - 100% contained ***This was not a CAL FIRE incident. Click the above link for more information.","Rock Creek Drainage, south of Mammoth Pool Reservoir",7/28/14 5:45,7/28/14,5:45:00
Shekell Fire ,Ventura County Fire,12/6/06 8:00,Ventura,"13,600","100% contained - 13,600 acres",Grimes Valley area north of Moorpark.,12/3/06 2:30,12/3/06,2:30:00
Buck Fire,Shasta Trinity National Forest,1/9/18 13:21,Trinity County,"13,417","13,417 acres - 100% contained ***This is not a CAL FIRE incident. Click the link for more information. ","Black Rock Mountain, North Portion of Yolla BollyWilderness",9/12/17 17:42,9/12/17,17:42:00
Cranston Fire,San Bernardino National Forest,1/4/19 9:36,Riverside County,"13,139","13,139 acres - 100% contained *** This is not a CAL FIRE incident. For more information click the link.","off Highway 74 and Control Road, east of Hemet",7/25/18 11:41,7/25/18,11:41:00
Slide Fire ,San Bernardino National Forest,11/6/07 6:00,San Bernardino,"12,759","100% contained - 12,759 acres","Green Valley Lake, Near Running Springs",10/22/07 16:32,10/22/07,16:32:00
Indian Fire,Bureau of Land Management  - Bishop Field Office,8/15/12 10:45,Mono County,"12,576","12,576 acres - 100% contained This was NOT a CAL FIRE Incident.** Click the link above for information from the Bureau of Land Management.  ",Southeast of Mono Lake and North of Highway 120.,8/8/12 14:06,8/8/12,14:06:00
Canyon Fire,Vandenberg Air Force Base,9/27/16 14:00,Santa Barbara County,"12,518","12,518 acres - 100% contained **This is not a CAL FIRE incident.  Click the link above for the latest information from the Vandenberg Air Force Base","Santa Ynez Ridge Road and Egress Road, south side of Vandenberg Air Force Base",9/17/16 17:20,9/17/16,17:20:00
Corral Complex,Six Rivers National Forest,8/12/13 12:00,Humboldt County,"12,503","12,503 acres - 100% contained  *** This was not a CAL FIRE incident. Click the link above for information from the Six Rivers National Forest.",Tish Tang Ridge east of Hoopa Valley Reservation,8/10/13 11:40,8/10/13,11:40:00
Corral Fire ,CAL FIRE Santa Clara Unit,8/18/09 7:00,Alameda County,"12,500","12,500 acres - 100% containment","West of Hwy 205 & South of Hwy 580, Altamont Pass ",8/13/09 15:00,8/13/09,15:00:00
Railroad Fire,USFS - Sierra National Forest,1/9/18 12:46,Madera County,"12,407","12,407 - 100% contained *** This is not a CAL FIRE incident. Click on the link for more information.","Highway 41, south of Fish Camp",8/29/17 12:19,8/29/17,12:19:00
White Fire ,Kern County Fire,7/3/07 19:30,Kern County,12400,"100% containment - 12,400 acres Twin Oakes, 20 miles northwest of Rosamond","Twin Oakes, 20 miles northwest of Rosamond",6/24/07 8:57,6/24/07,8:57:00
Waverly Fire,CAL FIRE Tuolumne-Calaveras Unit,1/4/19 9:58,San Joaquin County,"12,300","12,300 acres - 100% contained","off North Waverly Road and North Shelton Road, east of Linden",6/29/18 15:11,6/29/18,15:11:00
Jawbone Complex,Bureau of Land Management - California Desert District,8/23/12 9:30,Kern County,"12,018","12,018 acres - 100% containedThis is NOT a CAL FIRE Incident.** Click the link above for information from the Bureau of Land Management.",20 miles North of Mojave near the Sierra Crest and about 10 miles West of Highway 14.,8/10/12 13:01,8/10/12,13:01:00
Hat Creek Complex ,Lassen National Forest,8/26/09 15:00,Lassen and Shasta Counties,"11,269","11,269 acres - 100% containment",Multiple lightning caused fires in the forest,8/1/09 8:00,8/1/09,8:00:00
Sayre Fire,Los Angeles City Fire,11/20/08 20:00,Los Angeles County / Angeles National Forest,"11,262","11,262 acres - 100% contained",Sylmar,11/14/08 22:29,11/14/08,22:29:00
Sierra Fire ,USFS/Orange County Fire,2/12/06 18:00,Orange/Riverside Counties,"10,584","100% contained - 10,584 acres",Corona/Orange,2/6/06 4:30,2/6/06,4:30:00
Dodge Fire,Bureau of Land Management,8/4/15 10:37,Lassen County,"10,570","10,570 acres - 100% contained*** This was not a CAL FIRE incident. Click the link for more information from the Bureau of Land Management.",17 miles northeast of Ravendale,8/3/15 14:15,8/3/15,14:15:00
Keene Complex Fires ,Kern County Fire / CAL FIRE,9/14/11 8:00,Kern County,10470,"6 fires for a total of 10,470 acres - 100% contained",Highway 58 in Southeastern Kern County near Tehachapi ,9/10/11 2:30,9/10/11,2:30:00
Likely Fire,Bureau of Land Management - Northern California District,9/15/12 6:15,Lassen County,"9,838","9,838 acres - 100% containedThis was NOT a CAL FIRE incident. **Click the link above for more information from the Bureau of Land Management. ",east of US Highway 395 in the Bureau of Land Management Tule Mountain Wilderness Study Area.,9/5/12 11:25,9/5/12,11:25:00
Canyon Fire,Sequoia National Forest / Kern County Fire Department,9/20/10 7:30,Kern County,"9,820","9,820 acre - 100% containedThis was not a CAL FIRE incident. Click the link above for more information.",Hwy 178 southwest of Lake Isabella,9/12/10 13:54,9/12/10,13:54:00
Rice Fire ,CAL FIRE / San Diego County Operational Area,11/1/07 18:00,San Diego,"9,472","100% contained - 9,472 acres","Rice Canyon, Clearwater Rd. Fallbrook",10/22/07 16:16,10/22/07,16:16:00
Oregon Gulch Fire (part of the Beaver Complex),CAL FIRE Siskiyou Unit / Oregon Dept. of Forestry / Oregon Office of The State Fire Marshal,8/18/14 9:45,Siskiyou County (Jackson & Klamath counties in Oregon),"9,464","35,302 acres (9,464 acres in California) - 100% contained ","Community of Copco, South of Oregon Border",7/30/14 23:00,7/30/14,23:00:00
Slinkard Fire,Bureau of Land Management - Owens Valley District ,1/9/18 12:47,Mono County,"8,925","8,925 acres - 100% contained *** This is not a CAL FIRE incident. Click the link above for more information","West of Hwy 395, north of Hwy 89, south of Topaz",8/29/17 15:15,8/29/17,15:15:00
Jesusita Fire ,Los Padres National Forest / Santa Barbara County Fire ,5/18/09 17:00,Santa Barbara County,"8,733","8,733 acres - 100% contained",Northwest of Mission Canyon and Santa Barbara City ,5/5/09 13:45,5/5/09,13:45:00
Ralston Fire,Tahoe National Forest,9/17/06 18:00,Placer County,"8,423","100% contained - 8,423 acres",10 miles east of Foresthill,9/5/06 15:51,9/5/06,15:51:00
Fletcher Fire,Modoc National Forest,7/19/07 19:00,Modoc,"8,121","100% -  8,121 acres ",10 miles Northwest of Davis Creek ,7/10/07 13:15,7/10/07,13:15:00
Pilot Fire ,San Bernardino National Forest,8/16/16 8:00,San Bernardino County,"8,110","8,110 acres - 100% contained","Pilot Rock & Hwy 138, southeast of Hesperia",8/7/16 12:18,8/7/16,12:18:00
Empire Fire,Yosemite National Forest,1/9/18 12:16,Mariposa County,"8,094","8,094 acres - 100% contained ***This is not a CAL FIRE incident. Click the following link for more information from Yosemite National Park",1 Mile South of Bridalveil Campground in Yosemite,8/1/17 8:45,8/1/17,8:45:00
